PAP (mmHg)
4.5500
6.7400
7.8000
9.0300
11.5200
13.5900
14.4000
14.6100
14.8400
15.2500
15.7700
16.3400
16.9100
17.4900
18.1000
18.7300
19.3600
19.9400
20.4500
20.8400
21.1500
21.4100
21.6400
21.8700
22.1100
22.3100
22.4200
22.4200
22.2700
21.9200
21.3400
20.5100
19.4100
18.0600
16.6800
15.4500
14.2300
12.7200
10.7500
8.2400
5.4500
3.1100
1.3600
0.1700
0.0000
0.0000
0.0000
0.0000
0.2500
0.7900
1.2900
1.6400
1.8100
1.8500
1.8200
1.7700
1.7600
1.8300
1.9800
2.1700
2.3500
2.4800
2.5300
2.4700
2.3400
2.2000
2.0900
2.0700
2.1800
2.4600
2.9100
3.4600
4.0600
4.6300
5.1200
5.4700
5.6500
5.7000
5.6200
5.4500
5.2100
4.9200
4.6100
4.3600
4.2100
4.2200
4.4600
4.9800
5.8600
7.2100
9.1700
11.7800
14.5100
16.7500
18.3700
19.4400
20.0300
20.2000
20.0500
19.6600
19.1700
18.6800
18.3200
18.1800
18.3700
18.8400
19.5400
20.4200
21.4100
22.4300
23.3500
24.0600
24.4500
24.4200
23.9500
23.1700
22.1800
21.0800
19.8000
18.1300
16.0000
13.9900
12.6700
11.5900
10.1600
8.0000
5.7400
3.9600
2.4100
0.8500
0.0000
0.0000
0.0000
0.0000
0.4300
0.9800
1.2600
1.3000
1.2400
1.1700
1.2100
1.4700
1.9000
2.3800
2.8000
3.0300
2.9700
2.7000
2.3400
1.9900
1.7900
1.8200
2.1000
2.5500
3.1200
3.7400
4.3400
4.8900
5.3700
5.7600
6.0700
6.2600
6.3300
6.2400
5.9600
5.4200
4.6000
3.6000
2.6700
2.1000
2.0700
2.7300
4.2100
6.3600
7.7800
7.5300
9.7700
16.9200
17.6900
17.6300
18.8700
19.5800
19.5400
19.0700
18.4600
17.9900
17.9600
18.3500
19.0200
19.8000
20.5500
21.2300
21.8200
22.3300
22.7500
23.0800
23.3300
23.5100
23.6400
23.7300
23.7600
23.5600
22.8600
21.4200
19.2000
17.2500
16.0300
15.0500
13.8200
12.2700
10.4200
8.1700
5.7500
3.9600
2.6700
1.4200
0.3500
0.0000
0.1900
0.9200
1.7700
2.4800
2.9900
3.3300
3.5100
3.5300
3.4200
3.2300
3.0300
2.8600
2.7800
2.8300
2.9900
3.2100
3.4700
3.7300
3.9300
4.0600
4.0600
3.9200
3.6700
3.4200
3.2600
3.2700
3.5400
4.0300
4.6700
5.4000
6.1500
6.8500
7.4700
7.9500
8.2500
8.3300
8.1600
7.7600
7.1700
6.4200
5.5500
4.6600
4.5000
6.1300
10.5900
15.9800
19.3100
20.8900
21.1400
20.5200
19.4700
18.4100
17.5800
17.0100
16.7100
16.7200
17.0500
17.7400
18.8000
20.1100
21.4600
22.6100
23.4000
23.8900
24.1400
24.2300
24.2400
24.2500
24.2200
24.0500
23.6300
22.8300
21.5700
20.0300
18.5700
17.2200
15.6200
13.4700
11.2200
9.4600
7.9900
6.3500
