PLETH (NU)
0.2336
0.2317
0.2317
0.2307
0.2307
0.2336
0.2405
0.2512
0.2678
0.2893
0.3148
0.3451
0.3773
0.4125
0.4428
0.4712
0.5024
0.5337
0.5640
0.5924
0.6178
0.6393
0.6579
0.6735
0.6852
0.6931
0.6979
0.6979
0.6970
0.6931
0.6862
0.6764
0.6637
0.6481
0.6315
0.6119
0.5924
0.5718
0.5523
0.5347
0.5191
0.5024
0.4868
0.4731
0.4604
0.4487
0.4399
0.4311
0.4242
0.4184
0.4135
0.4096
0.4057
0.4018
0.3978
0.3939
0.3910
0.3871
0.3832
0.3793
0.3763
0.3724
0.3685
0.3646
0.3617
0.3597
0.3568
0.3548
0.3519
0.3490
0.3451
0.3421
0.3382
0.3343
0.3304
0.3265
0.3236
0.3206
0.3167
0.3128
0.3079
0.3030
0.2991
0.2952
0.2913
0.2884
0.2864
0.2845
0.2835
0.2825
0.2815
0.2796
0.2776
0.2747
0.2727
0.2717
0.2727
0.2757
0.2815
0.2923
0.3069
0.3245
0.3451
0.3705
0.4018
0.4360
0.4712
0.5073
0.5435
0.5777
0.6100
0.6393
0.6657
0.6852
0.6999
0.7146
0.7273
0.7370
0.7439
0.7468
0.7468
0.7439
0.7380
0.7292
0.7175
0.7028
0.6882
0.6716
0.6530
0.6325
0.6119
0.5914
0.5709
0.5523
0.5337
0.5171
0.5024
0.4897
0.4790
0.4712
0.4633
0.4565
0.4506
0.4448
0.4399
0.4350
0.4301
0.4252
0.4203
0.4154
0.4106
0.4066
0.4018
0.3978
0.3920
0.3861
0.3803
0.3744
0.3675
0.3607
0.3539
0.3480
0.3421
0.3382
0.3343
0.3294
0.3245
0.3196
0.3157
0.3109
0.3060
0.3011
0.2962
0.2933
0.2893
0.2864
0.2835
0.2815
0.2796
0.2776
0.2747
0.2727
0.2698
0.2669
0.2630
0.2600
0.2571
0.2551
0.2561
0.2571
0.2610
0.2698
0.2825
0.3001
0.3236
0.3519
0.3832
0.4184
0.4536
0.4907
0.5220
0.5494
0.5797
0.6080
0.6344
0.6588
0.6794
0.7028
0.7146
0.7234
0.7302
0.7302
0.7263
0.7214
0.7136
0.7038
0.6911
0.6764
0.6588
0.6403
0.6207
0.6022
0.5846
0.5670
0.5503
0.5357
0.5210
0.5073
0.4946
0.4829
0.4731
0.4643
0.4575
0.4516
0.4457
0.4399
0.4360
0.4321
0.4262
0.4213
0.4164
0.4076
0.4027
0.3978
0.3910
0.3851
0.3803
0.3754
0.3715
0.3656
0.3607
0.3548
0.3490
0.3441
0.3382
0.3333
0.3275
0.3226
0.3177
0.3148
0.3118
0.3089
0.3050
0.3021
0.2991
0.2962
0.2933
0.2913
0.2893
0.2874
0.2854
0.2825
0.2815
0.2805
0.2786
0.2757
0.2737
0.2717
0.2708
0.2708
0.2737
0.2796
0.2903
0.3050
0.3216
0.3412
0.3666
0.3959
0.4282
0.4624
0.4956
0.5279
0.5591
0.5885
0.6158
0.6393
0.6598
0.6755
0.6872
0.6979
0.7058
0.7126
0.7155
0.7155
0.7126
0.7067
0.6970
0.6852
0.6706
0.6559
0.6403
0.6227
0.6041
0.5855
0.5670
0.5494
0.5318
0.5152
0.5005
0.4868
0.4751
0.4653
0.4575
0.4506
0.4448
0.4389
0.4340
0.4291
0.4252
0.4203
0.4164
0.4125
0.4086
0.4037
0.4008
0.3969
0.3930
0.3891
0.3842
0.3793
0.3744
0.3685
0.3636
0.3578
0.3519
0.3460
0.3421
0.3382
0.3333
0.3294
0.3255
0.3216
0.3177
0.3138
0.3109
0.3069
0.3040
0.3011
0.2981
0.2962
0.2952
0.2933
0.2913
0.2893
0.2874
0.2845
0.2825
0.2796
0.2776
0.2757
0.2737
0.2737
0.2737
0.2757
0.2786
0.2845
0.2952
0.3099
0.3304
0.3548
0.3842
0.4164
0.4506
0.4848
0.5142
0.5406
0.5679
0.5953
0.6217
0.6452
0.6657
0.6823
0.6960
0.7067
0.7146
0.7195
0.7195
0.7165
0.7116
0.7038
0.6940
0.6804
0.6657
0.6500
0.6325
0.6139
0.5943
0.5758
0.5582
0.5425
0.5288
0.5152
0.5015
0.4897
0.4780
0.4682
0.4604
0.4526
0.4467
0.4418
0.4370
0.4330
0.4291
0.4252
0.4213
0.4164
0.4125
0.4076
0.4027
0.3969
0.3920
0.3861
0.3812
0.3754
0.3715
0.3666
0.3617
0.3558
0.3500
0.3441
0.3382
0.3333
0.3284
0.3236
0.3187
0.3138
0.3109
0.3079
0.3040
0.3001
0.2972
0.2933
0.2903
0.2884
0.2854
0.2825
0.2786
0.2757
0.2727
0.2708
0.2688
0.2669
0.2639
0.2610
0.2590
0.2581
0.2581
0.2600
0.2659
0.2757
0.2903
0.3069
0.3265
0.3509
0.3803
0.4145
0.4516
0.4888
0.5239
0.5582
0.5904
0.6197
0.6461
0.6686
0.6852
0.6979
0.7087
0.7185
0.7253
0.7283
0.7283
0.7243
0.7165
0.7058
0.6921
0.6755
0.6588
0.6413
0.6227
0.6022
0.5806
0.5611
0.5415
0.5230
0.5064
0.4907
0.4780
0.4653
0.4555
0.4477
0.4409
0.4350
0.4291
0.4233
0.4184
0.4145
0.4106
0.4066
0.4027
0.3998
0.3969
0.3939
0.3920
0.3891
0.3861
0.3822
0.3793
0.3754
0.3715
0.3685
0.3646
0.3607
0.3578
0.3548
0.3519
0.3509
0.3480
0.3451
0.3421
0.3382
0.3343
0.3304
0.3265
0.3216
0.3177
0.3128
0.3099
0.3079
0.3050
0.3021
0.3001
0.2972
0.2952
0.2942
0.2923
0.2913
0.2903
0.2884
0.2893
0.2903
0.2942
0.3011
0.3118
0.3294
0.3519
0.3793
0.4115
0.4467
0.4839
0.5220
0.5601
0.5914
0.6178
0.6461
0.6725
0.6970
0.7175
0.7361
0.7507
0.7625
0.7703
0.7742
0.7761
0.7732
0.7674
0.7595
0.7498
0.7361
0.7204
0.7038
0.6843
0.6647
0.6432
0.6227
0.6022
0.5826
0.5660
0.5513
0.5367
0.5230
0.5103
0.4995
0.4897
0.4809
0.4741
0.4682
0.4624
0.4575
0.4536
0.4497
0.4448
0.4399
0.4360
0.4311
0.4252
0.4203
0.4145
0.4086
0.4027
0.3959
0.3891
0.3832
0.3783
0.3724
0.3656
0.3597
0.3539
0.3480
0.3441
0.3402
0.3372
0.3353
0.3343
0.3343
0.3343
0.3353
0.3372
0.3392
0.3421
0.3460
0.3500
0.3529
0.3558
0.3578
0.3587
0.3578
0.3568
0.3558
0.3529
0.3490
0.3441
0.3392
0.3333
0.3275
0.3206
0.3148
0.3099
0.3040
0.3001
0.2981
0.2952
0.2923
0.2893
0.2874
0.2864
0.2845
0.2835
0.2825
0.2825
0.2815
0.2815
0.2815
0.2825
0.2825
0.2815
0.2805
0.2796
0.2786
0.2776
0.2766
0.2757
0.2747
0.2737
0.2727
0.2727
0.2727
0.2717
0.2708
0.2698
0.2678
0.2669
0.2649
0.2630
0.2620
0.2600
0.2590
0.2581
0.2581
0.2581
0.2571
0.2571
0.2561
0.2551
0.2542
0.2532
0.2522
0.2512
0.2502
0.2502
0.2502
0.2502
0.2502
0.2493
0.2493
0.2483
0.2483
0.2483
0.2473
0.2473
0.2463
0.2454
0.2454
0.2463
0.2473
0.2483
0.2493
0.2502
0.2512
0.2522
0.2532
0.2532
0.2551
0.2581
0.2600
0.2620
0.2639
0.2659
0.2669
0.2678
0.2688
0.2708
0.2717
0.2727
0.2737
0.2757
0.2776
0.2805
0.2854
0.2933
0.3050
0.3206
0.3421
0.3685
0.3988
0.4340
0.4712
0.5103
0.5494
0.5836
0.6139
0.6461
0.6784
0.7087
0.7361
0.7615
0.7830
0.8016
0.8152
0.8260
0.8328
0.8348
0.8338
0.8309
0.8250
0.8162
0.8055
0.7918
0.7752
0.7576
0.7390
0.7204
0.7009
0.6823
0.6647
0.6491
0.6334
0.6168
0.6022
0.5875
0.5748
0.5640
0.5543
0.5464
0.5386
0.5318
0.5269
0.5210
0.5161
0.5112
0.5064
0.5005
0.4956
0.4907
0.4848
0.4790
0.4731
0.4663
0.4594
0.4536
0.4487
0.4428
0.4360
0.4291
0.4223
0.4154
0.4086
0.4027
0.3969
0.3910
0.3851
0.3803
0.3763
0.3724
0.3675
