AVR (mV)
0.9373
0.9216
0.9373
0.9255
0.9373
0.9216
0.9255
0.9157
0.9216
0.9059
0.9118
0.8961
0.9216
0.9118
0.9157
0.8902
0.8961
0.8902
0.9216
0.9412
0.9569
0.9608
0.9510
0.9569
0.9510
0.9608
0.9471
0.9569
0.9157
0.8706
0.8255
0.8608
0.8902
0.9824
1.0667
1.0725
0.9706
0.9667
0.9471
0.9569
0.9412
0.9510
0.9412
0.9471
0.9510
0.9412
0.9471
0.9373
0.9412
0.9314
0.9373
0.9216
0.9255
0.9157
0.9216
0.9059
0.9118
0.9020
0.9059
0.8863
0.8863
0.8667
0.8667
0.8510
0.8608
0.8451
0.8569
0.8608
0.8569
0.8765
0.8706
0.8902
0.8961
0.9118
0.9020
0.9216
0.9157
0.9314
0.9216
0.9314
0.9216
0.9314
0.9216
0.9412
0.9255
0.9373
0.9255
0.9373
0.9216
0.9373
0.9255
0.9314
0.9216
0.9157
0.9373
0.9216
0.9412
0.9216
0.9373
0.9255
0.9373
0.9157
0.9118
0.8961
0.9020
0.8961
0.9157
0.8961
0.9118
0.8863
0.8902
0.8961
0.9373
0.9471
0.9569
0.9471
0.9569
0.9608
0.9471
0.9608
0.9471
0.9510
0.8961
0.8353
0.8608
0.9020
0.9314
1.0510
1.0765
0.9922
0.9569
0.9608
0.9412
0.9471
0.9373
0.9412
0.9314
0.9412
0.9255
0.9314
0.9157
0.9255
0.9118
0.9157
0.9216
0.9118
0.9216
0.9059
0.9157
0.9020
0.9118
0.8902
0.8961
0.8804
0.8765
0.8667
0.8667
0.8569
0.8608
0.8451
0.8608
0.8510
0.8706
0.8804
0.8961
0.8961
0.9118
0.9157
0.9216
0.9157
0.9314
0.9373
0.9216
0.9412
0.9314
0.9412
0.9314
0.9412
0.9373
0.9412
0.9255
0.9412
0.9373
0.9471
0.9373
0.9471
0.9314
0.9412
0.9373
0.9412
0.9314
0.9373
0.9255
0.9314
0.9157
0.9118
0.8902
0.8902
0.9020
0.8961
0.9118
0.8902
0.8961
0.8765
0.8902
0.9157
0.9471
0.9412
0.9569
0.9471
0.9608
0.9510
0.9608
0.9412
0.9412
0.9059
0.8569
0.8314
0.8804
0.9059
1.0118
1.0765
1.0020
0.9569
0.9471
0.9412
0.9373
0.9471
0.9314
0.9412
0.9373
0.9412
0.9255
0.9373
0.9216
0.9314
0.9157
0.9216
0.9118
0.9157
0.9059
0.9118
0.8902
0.8961
0.8902
0.8863
0.8902
0.8706
0.8608
0.8510
0.8569
0.8451
0.8510
0.8412
0.8569
0.8510
0.8706
0.8765
0.8902
0.8902
0.9059
0.9020
0.9157
0.9157
0.9255
0.9157
0.9314
0.9216
0.9255
0.9314
0.9216
0.9373
0.9255
0.9412
0.9216
0.9373
0.9255
0.9373
0.9255
0.9373
0.9216
0.9314
0.9216
0.9314
0.9157
0.9314
0.9157
0.9255
0.9118
0.9059
0.8902
0.8961
0.9020
0.9118
0.8902
0.8961
0.8804
0.8804
0.9020
0.9373
0.9510
0.9471
0.9608
0.9510
0.9608
0.9471
0.9608
0.9471
0.9412
0.8765
0.8353
0.8608
0.9157
0.9510
1.0667
1.0824
0.9824
0.9569
0.9510
0.9412
0.9471
0.9412
0.9373
0.9471
0.9314
0.9412
0.9314
0.9412
0.9216
0.9314
0.9216
0.9255
0.9118
0.9157
0.9020
0.9118
0.8902
0.9020
0.8863
0.8902
0.8765
0.8765
0.8608
0.8667
0.8510
0.8569
0.8608
0.8510
0.8667
0.8608
0.8804
0.8863
0.8961
0.9020
0.9157
0.9118
0.9255
0.9157
0.9412
0.9255
0.9412
0.9216
0.9373
0.9255
0.9373
0.9255
0.9373
0.9314
0.9412
0.9314
0.9412
0.9373
0.9314
0.9412
0.9373
0.9412
0.9314
0.9373
0.9314
0.9412
0.9255
0.9314
0.9157
0.9216
0.8961
0.9157
0.9020
0.9118
0.8902
0.9020
0.8902
0.9118
0.9314
0.9569
0.9471
0.9569
0.9608
0.9510
0.9608
0.9510
0.9608
0.9373
0.8961
0.8412
0.8667
0.9020
0.9412
1.0314
1.0725
0.9922
0.9608
0.9412
0.9471
0.9314
0.9412
0.9255
0.9412
0.9255
0.9216
0.9373
0.9216
0.9314
0.9157
0.9255
0.9157
0.9216
0.9118
0.9157
0.9020
0.9118
0.8902
0.9020
0.8902
0.8863
0.8667
0.8706
0.8510
0.8569
0.8451
0.8569
0.8451
0.8667
0.8667
0.8863
0.8902
0.8863
0.9020
0.8902
0.9118
0.9216
0.9373
0.9157
0.9373
0.9157
0.9255
0.9216
0.9314
0.9157
0.9373
0.9255
0.9314
0.9255
0.9412
0.9314
0.9412
0.9255
0.9412
0.9255
0.9373
0.9157
0.9255
0.9314
0.9157
0.9255
0.9118
0.9157
0.8902
0.9020
0.9059
0.9157
0.8961
0.9020
0.8902
0.8902
0.9020
0.9471
0.9471
0.9608
0.9569
0.9667
0.9569
0.9608
0.9569
0.9608
0.9255
0.8863
0.8412
0.8706
0.9020
0.9706
1.0765
1.0471
0.9863
0.9608
0.9667
0.9510
0.9569
0.9412
0.9510
0.9412
0.9510
0.9373
0.9412
0.9255
0.9412
0.9255
0.9373
0.9216
0.9314
0.9157
0.9157
0.9118
0.9059
0.9118
0.8902
0.9020
0.8804
0.8863
0.8667
0.8608
0.8510
0.8608
0.8451
0.8608
0.8569
0.8765
0.8765
0.8961
0.8961
0.9157
0.9157
0.9314
0.9255
0.9373
0.9255
0.9373
0.9314
0.9373
0.9412
0.9314
0.9412
0.9373
0.9608
0.9569
1.0157
1.0608
1.1627
1.2373
1.3118
1.3275
1.3373
1.3020
1.3980
1.4333
1.3569
1.1922
0.9922
0.8216
0.7765
0.7412
0.7353
0.7255
0.7412
0.7216
0.7255
0.7098
0.7000
0.7059
0.6902
0.7255
0.7157
0.7059
0.6804
0.6647
0.6412
0.6353
0.6098
0.6196
0.6098
0.6196
0.6196
0.6510
0.6608
0.7000
0.7255
0.7667
0.7863
0.8216
0.8412
0.8765
0.9020
0.9157
0.9412
0.9510
0.9608
0.9608
0.9765
0.9706
0.9863
0.9765
0.9863
0.9824
0.9863
0.9863
0.9863
0.9706
0.9863
0.9765
0.9863
0.9706
0.9765
0.9706
0.9765
0.9608
0.9706
0.9765
0.9608
0.9706
0.9608
0.9667
0.9608
0.9706
0.9569
0.9608
0.9510
0.9608
0.9510
0.9608
0.9412
0.9510
0.9412
0.9569
0.9412
0.9510
0.9412
0.9471
0.9373
0.9412
0.9314
0.9412
0.9373
0.9314
0.9412
0.9314
0.9412
0.9314
0.9412
0.9314
0.9412
0.9314
0.9412
0.9255
0.9216
0.9059
0.9059
0.8863
0.8961
0.8804
0.8902
0.8804
0.8765
0.8902
0.9373
0.9510
0.9608
0.9667
0.9569
0.9667
0.9608
0.9667
0.9569
0.9471
0.8961
0.8412
0.8314
0.8667
0.8902
1.0373
1.0765
1.0020
0.9667
0.9765
0.9608
0.9667
0.9569
0.9608
0.9510
0.9608
0.9471
0.9412
0.9510
0.9412
0.9373
0.9255
0.9373
0.9216
0.9255
0.9157
0.9216
0.9118
0.9157
0.9020
0.9118
0.8902
0.8902
0.8765
0.8804
0.8667
0.8706
0.8667
0.8706
0.8667
0.8765
0.8804
0.8902
0.8961
0.8902
0.9118
0.9020
0.9216
0.9118
0.9216
0.9157
0.9314
0.9255
0.9412
0.9314
0.9412
0.9255
0.9373
0.9216
0.9314
0.9216
0.9412
0.9255
0.9373
0.9314
0.9373
0.9255
0.9216
0.9373
0.9255
0.9373
0.9216
0.9255
0.9059
0.9118
0.8902
0.8902
0.8863
0.8902
0.8863
0.8902
0.8804
0.9314
0.9510
0.9765
0.9608
0.9765
0.9608
0.9765
0.9608
0.9765
0.9608
0.9510
0.9118
0.8608
0.8706
0.9059
0.9255
1.0373
1.0863
1.0059
0.9765
0.9608
0.9667
0.9471
0.9569
0.9412
0.9510
0.9412
0.9471
0.9314
0.9412
0.9255
0.9314
0.9157
0.9216
0.9157
0.9118
0.9157
0.9059
0.9118
0.8961
0.9020
0.8863
0.8902
0.8706
0.8765
0.8569
0.8608
0.8451
0.8569
0.8451
0.8667
0.8608
0.8804
0.8765
0.8961
0.8961
0.9118
0.9157
0.9118
0.9255
0.9216
0.9314
0.9216
0.9373
0.9255
0.9412
0.9314
0.9412
0.9216
0.9314
0.9255
0.9314
0.9216
0.9314
0.9255
0.9412
0.9255
0.9412
0.9314
0.9412
0.9373
0.9412
0.9216
0.9157
0.9118
0.9059
0.8902
0.8863
0.8804
0.8765
0.8863
0.8706
0.9157
0.9471
0.9608
0.9510
0.9667
0.9608
0.9667
0.9569
0.9608
0.9510
0.9569
0.9118
0.8569
0.8412
0.8961
0.9118
1.0216
1.0765
1.0118
0.9667
0.9608
0.9471
0.9412
0.9510
0.9412
0.9373
0.9255
0.9412
0.9373
0.9412
0.9216
0.9314
0.9157
0.9216
0.9118
0.9157
0.9118
0.9216
0.9059
0.9157
0.8902
0.8961
0.8804
0.8706
0.8765
0.8667
0.8510
0.8412
0.8569
0.8451
0.8667
0.8569
0.8804
0.8765
0.8902
0.8961
0.9157
0.9157
0.9314
0.9255
0.9412
0.9255
0.9373
0.9216
0.9373
0.9216
0.9314
0.9216
0.9255
0.9314
0.9216
0.9373
0.9255
0.9412
0.9314
0.9412
0.9255
0.9412
0.9216
0.9373
0.9216
0.9255
0.9059
0.9118
0.8863
0.8961
0.8804
0.8902
0.8804
0.8765
0.8667
0.9216
0.9412
0.9569
0.9608
0.9569
0.9608
0.9569
0.9667
0.9569
0.9667
0.9471
0.9157
0.8510
0.8667
0.8961
0.9314
1.0314
1.0863
1.0020
0.9824
0.9569
0.9608
0.9412
0.9569
0.9412
0.9471
0.9412
0.9412
0.9255
0.9314
0.9157
0.9216
0.9255
0.9118
0.9157
0.9059
0.9157
0.8961
0.9118
0.8961
0.8961
0.8863
0.8902
0.8667
0.8667
0.8451
0.8510
0.8451
0.8510
0.8412
0.8510
0.8608
0.8765
0.8804
0.8902
0.8961
0.8902
0.9118
0.9157
0.9216
0.9157
0.9314
0.9255
0.9373
0.9157
0.9255
0.9157
0.9314
0.9216
0.9314
0.9216
0.9412
0.9255
0.9412
0.9216
0.9373
0.9255
0.9412
0.9314
0.9373
0.9216
0.9157
0.9059
0.8902
0.8804
0.8765
0.8902
0.8706
0.8863
0.8667
0.8902
0.9216
0.9510
0.9510
0.9608
0.9510
0.9667
0.9608
0.9667
0.9608
0.9608
0.9314
0.8902
0.8412
0.8804
0.9059
0.9667
1.0667
1.0765
0.9824
0.9608
0.9667
0.9471
0.9608
0.9412
0.9471
0.9373
0.9412
0.9255
0.9412
0.9255
0.9373
0.9216
0.9314
0.9157
0.9216
0.9118
0.9157
0.9020
0.9118
0.8961
0.8902
0.8863
0.8765
0.8804
0.8608
0.8667
0.8451
0.8510
0.8451
0.8569
0.8510
0.8706
0.8667
0.8902
0.8902
0.9157
0.9059
0.9157
0.9157
0.9255
0.9216
0.9314
0.9373
0.9255
0.9373
0.9255
0.9373
0.9255
0.9373
0.9216
0.9412
0.9255
0.9412
0.9255
0.9412
0.9314
0.9412
0.9314
0.9412
0.9255
0.9255
0.9020
0.9157
