x,y
-1.4517513990983595,-106.49477783767745
-1.2382957124172744,-107.5200648928616
0.04885286622268126,-106.18996276721728
0.9061744085216272,-106.21011582972704
1.5478535169053593,-107.75560381094445
1.974910673416467,-109.63613645638657
2.4018220467786335,-111.68671056675481
2.9357528297792292,-113.9098452748629
3.577286155014015,-115.62537472100632
4.11194585375932,-116.99830210448386
4.970142094951921,-115.99820637743699
5.506696974633474,-115.16059471687498
6.042960288017142,-114.66306598616524
6.473224673804975,-112.80268640323283
6.902468577550216,-112.13259707478332
7.65087552927449,-114.19072858359272
8.615799613807628,-113.70327638413784
9.259373903127607,-113.03822532131568
10.651646710469745,-114.09122283745074
11.402240409428149,-113.59873237236843
12.154146156727027,-111.5758687229511
12.798886711238541,-109.55048594072008
13.337190988707398,-106.67237670104473
14.408259783985315,-107.37773388888638
15.266310242028972,-106.54767962676556
15.803302471157348,-105.19994357142525
16.766331374754245,-106.92303041600991
17.408156266286912,-108.2984769323011
18.04968959152171,-110.0140063784446
18.58332880822441,-112.57722401640493
19.438463603289232,-115.14799905280631
20.079851145375077,-117.033569963876
20.832485808418664,-114.16049898982806
21.687183254036658,-117.24139842100789
22.118176555569196,-114.53081151344492
23.082225941208687,-115.06360810354676
24.369082953550762,-114.0735889077547
25.54804585736076,-113.93125790377951
26.834611303404937,-113.28132163783965
27.799535387938075,-112.79386943838483
28.44383859300277,-111.27861105093214
28.553190533024267,-108.73050820985412
28.984038051407868,-106.18996276721728
29.522050762578846,-103.65193645739421
30.056127328728376,-105.70502970057618
30.48333026838844,-107.41552088109219
31.771353545922043,-105.06516996589122
32.95046223288098,-104.75279749698993
33.484684582179455,-106.63584927524576
33.91101282294585,-109.3665892453185
33.90926342515854,-111.40708682443187
34.44363155760597,-113.1200971377616
35.623177594011736,-112.29760027408199
36.05038053367177,-114.008091454598
36.26281573831028,-116.22366876426491
36.79762122020452,-117.42655468281635
37.334467666183954,-116.24886009240214
38.19280969052549,-115.07872290042906
38.728781437611275,-114.92127709957157
39.584062015825026,-117.32201067104688
39.9064322930808,-116.3093192799314
40.01476375105969,-114.95150669333623
40.33757137776227,-113.42869090744233
40.87427204059277,-112.42103778195425
41.51653428157228,-113.28635990346714
42.05104819716864,-114.82932875187078
43.123137474489155,-114.34439568522964
43.3381967758086,-113.49922662622652
44.19595566755437,-113.00925529395795
