x,y
129.17532945125643,-118.0676739839081
130.03542087338528,-114.85703921282175
130.99801242753534,-117.0902504521847
133.1413162832827,-117.1406331084591
134.53504692211428,-116.49321597533299
135.92863177779688,-116.01584030713298
136.35670941635058,-116.70608269809236
137.323382898671,-114.1781329195241
138.28509975392745,-117.43159294844378
139.25133588680106,-115.41376756465388
140.00061753741898,-116.45165028390664
140.96554162195213,-115.96419808445171
141.28645406771847,-116.65192134259735
142.78764146563526,-115.66694041243272
143.21557332104,-116.52722426831821
145.68066432144738,-116.24508139318152
149.215949418239,-117.68854449544324
150.28920496075105,-115.84327970939313
151.35983640658213,-117.05876129201317
152.75458752745627,-115.2210539044043
154.8973082506079,-115.9516024203831
155.75506714235365,-115.46163108811459
156.71853339539737,-116.67459353792083
157.46941866065364,-115.84202014298631
157.89749629920738,-116.53226253394564
159.39853791397525,-115.71732306870717
159.93363496216736,-116.58012605740635
161.64900696250996,-115.77022485779531
162.93338566132002,-117.67091056574719
164.75519393870528,-117.71373582358046
165.82772056547262,-116.71867836216097
166.79176995111212,-117.25147495226281
168.61459871053995,-116.10400995561326
170.22163925290363,-116.65192134259735
171.61507832543734,-116.3445871393235
171.93569920490577,-117.37239332732133
173.00866318111994,-115.86721147112354
173.65063385580157,-117.0726165224886
174.83032567535625,-116.08007819388291
176.22303583214523,-116.62295131523956
177.7230569648705,-116.99830210448391
179.43667956742578,-118.22889848398626
179.75759201319212,-118.91662174213178
180.82968129051264,-118.4316886754907
181.68787753170523,-117.43159294844378
183.08117082108996,-117.29430021009603
184.90399958051782,-116.14683521344648
185.54626182149732,-117.01215733495934
187.79804291837252,-115.53468593971246
188.97540220754416,-117.2628110499245
186.61864266511571,-116.187141338466
190.15407354505626,-117.46056297580157
191.33478584665357,-115.277734392713
192.40468837673995,-117.34342329996355
193.583505497401,-117.37113376091446
194.5479922324873,-117.39380595623794
195.94070238927625,-117.9366790775947
197.442035570342,-116.78165668250398
198.19160878725785,-117.47945647190443
198.94234826936517,-116.81692454189607
199.69119257053626,-118.36493165592708
200.65815761915462,-115.49689894750662
201.72864328183672,-116.88242199505277
203.22837284826414,-117.59785571414932
204.30089947503146,-116.60279825272983
205.15734631843677,-117.64320010479628
206.23001872835303,-116.47810117845069
207.19421389714145,-116.84085630362642
209.12362471676093,-116.37607629949503
210.9441209458057,-117.94927474166326
212.44472521112675,-117.6444596712031
213.30160940397886,-118.17473712849124
214.37442759704408,-116.83959673721955
215.44433012713048,-118.90528564447015
215.87401138032251,-117.72507192124215
216.1966732238762,-116.37229760027441
216.19798527221667,-114.84192441593939
216.84185112783453,-113.83679042326503
217.26978298323925,-114.69707427915051
217.80342219994196,-117.2602919171108
218.12433464570833,-117.94801517525644
218.9828224531988,-116.60783651835732
219.7322498869657,-117.47567777268387
220.59030034500933,-116.6456235105631
221.2324168028399,-117.68098709700206
222.6262932248204,-116.8635284989499
224.44810150220562,-116.90635375678312
225.94783106863304,-117.62178747587961
227.44770641820935,-118.16717973005007
228.41248471959358,-117.84976899552134
229.4844282137651,-117.53487739380631
230.55651749108563,-117.04994432716518
231.73577196119348,-116.56753039333779
232.59294772034355,-116.75772492077363
233.55699710598302,-117.29052151087546
234.6287948170056,-117.14567137408653
235.70059252802824,-117.00082123729766
236.02150497379458,-117.68854449544324
237.09417738371084,-116.52344556909765
237.52210923911562,-117.38372942498313
238.59434429958506,-116.72875489341584
239.12987869722403,-117.08143348733671
240.30855003473613,-117.27918541321372
241.3799103963119,-117.64445967120315
242.77262055310092,-118.18733279255986
243.52336003520827,-117.52480086255144
244.4872636376988,-118.22763891757938
245.45204193908302,-117.91022818305066
246.09547044525402,-117.4152185851546
246.73962786716982,-116.07000166262799
247.27545383110663,-116.0825973266966
248.1321922408098,-116.78291624891085
249.73908700002454,-117.50086910082109
250.91848725328134,-116.84841370206755
251.5610410605587,-117.37365289372826
252.09745015709137,-116.70608269809236
252.7398581812198,-117.40136335467918
253.81194745854026,-116.91643028803799
254.77657997677557,-116.76906101843537
255.84823190464925,-116.79425234657253
256.7051160975014,-117.32452980386068
257.8834958687156,-117.86236465958996
259.16933239901505,-118.06263571828072
260.1338191341013,-118.0853079136042
261.42053036329446,-117.2653301827383
262.38530866467875,-116.94791944820952
263.9936612553829,-115.96545765085864
263.2429217732755,-116.62798958086705
209.98021734331516,-117.24643668663532
137.85775103111845,-115.89114323285384
136.89370164547896,-115.35834664275205
